y,s,fB
1.6003,1,
1.5924,1,
1.5836,1,
1.5741,1,
1.5639,1,
1.553,1,
1.5414,1,
1.5292,1,
1.5163,1,
1.5027,1,
1.4885,1,
1.4737,1,
1.4584,1,
1.4425,1,
1.426,1,
1.409,1,
1.3915,1,
1.3735,1,
1.355,1,
1.3361,1,
1.3167,1,
1.297,1,
1.2768,1,
1.2563,1,
1.2354,1,
1.2142,1,
1.1927,1,
1.1708,1,
1.1487,1,
1.1263,1,
1.1037,1,
1.0809,1,
1.0579,1,
1.0346,1,
1.0113,1,
0.9877,1,
0.964,1,
0.9403,1,
0.9164,1,
0.8924,1,
0.8684,1,
0.8443,1,
0.8202,1,
0.796,1,
0.7719,1,
0.7478,1,
0.7237,1,
0.6996,1,
0.6756,1,
0.6517,1,
0.6278,1,
0.6041,1,
0.5804,1,
0.5569,1,
0.5334,1,
0.5101,1,
0.487,1,
0.464,1,
0.4412,1,
0.4186,1,
0.3961,1,
0.3738,1,
0.3518,1,
0.3299,1,
0.3083,1,
0.2868,1,
0.2656,1,
0.2447,1,
0.2239,1,
0.2034,1,
0.1832,1,
0.1632,1,
0.1434,1,
0.124,1,
0.1047,1,
0.0857,1,
0.067,1,
0.0486,1,
0.0304,1,
0.0125,1,
-0.0052,-1,
-0.0225,-1,
-0.0397,-1,
-0.0565,-1,
-0.0731,-1,
-0.0894,-1,
-0.1055,-1,
-0.1213,-1,
-0.1368,-1,
-0.1521,-1,
-0.1671,-1,
-0.1819,-1,
-0.1964,-1,
-0.2106,-1,
-0.2247,-1,
-0.2384,-1,
-0.252,-1,
-0.2653,-1,
-0.2784,-1,
-0.2912,-1,
-0.3038,-1,
-0.3162,-1,
-0.3284,-1,
-0.3404,-1,
-0.3521,-1,
-0.3637,-1,
-0.375,-1,
-0.3861,-1,
-0.3971,-1,
-0.4079,-1,
-0.4184,-1,
-0.4288,-1,
-0.439,-1,
-0.4491,-1,
-0.459,-1,
-0.4687,-1,
-0.4782,-1,
-0.4876,-1,
-0.4968,-1,
-0.5058,-1,
-0.5148,-1,
-0.5235,-1,
-0.5321,-1,
-0.5406,-1,
-0.5489,-1,
-0.5571,-1,
-0.5652,-1,
-0.5731,-1,
-0.5809,-1,
-0.5886,-1,
-0.5961,-1,
-0.6035,-1,
-0.6108,-1,
-0.6179,-1,
-0.6249,-1,
-0.6318,-1,
-0.6386,-1,
-0.6452,-1,
-0.6518,-1,
-0.6582,-1,
-0.6644,-1,
-0.6706,-1,
-0.6766,-1,
-0.6825,-1,
-0.6882,-1,
-0.6938,-1,
-0.6993,-1,
-0.7047,-1,
-0.7099,-1,
-0.7149,-1,
-0.7199,-1,
-0.7247,-1,
-0.7293,-1,
-0.7338,-1,
-0.7381,-1,
-0.7423,-1,
-0.7463,-1,
-0.7502,-1,
-0.7539,-1,
-0.7574,-1,
-0.7608,-1,
-0.764,-1,
-0.767,-1,
-0.7698,-1,
-0.7724,-1,
-0.7748,-1,
-0.7771,-1,
-0.7791,-1,
-0.781,-1,
-0.7826,-1,
-0.784,-1,
-0.7853,-1,
-0.7863,-1,
-0.787,-1,
-0.7876,-1,
-0.7879,-1,
-0.788,-1,
-0.7879,-1,
-0.7875,-1,
-0.7869,-1,
-0.786,-1,
-0.7849,-1,
-0.7836,-1,
-0.782,-1,
-0.7801,-1,
-0.778,-1,
-0.7757,-1,
-0.773,-1,
-0.7702,-1,
-0.767,-1,
-0.7636,-1,
-0.76,-1,
-0.756,-1,
-0.7518,-1,
-0.7474,-1,
-0.7427,-1,
-0.7377,-1,
-0.7324,-1,
-0.7269,-1,
-0.7212,-1,
-0.7151,-1,
-0.7089,-1,
-0.7023,-1,
-0.6956,-1,
-0.6885,-1,
-0.6813,-1,
-0.6738,-1,
-0.666,-1,
-0.6581,-1,
-0.6499,-1,
-0.6414,-1,
-0.6328,-1,
-0.624,-1,
-0.6149,-1,
-0.6057,-1,
-0.5962,-1,
-0.5866,-1,
-0.5768,-1,
-0.5668,-1,
-0.5566,-1,
-0.5463,-1,
-0.5359,-1,
-0.5253,-1,
-0.5146,-1,
-0.5038,-1,
-0.4928,-1,
-0.4818,-1,
-0.4706,-1,
-0.4594,-1,
-0.4481,-1,
-0.4368,-1,
-0.4254,-1,
-0.4139,-1,
-0.4025,-1,
-0.391,-1,
-0.3795,-1,
-0.368,-1,
-0.3565,-1,
-0.3451,-1,
-0.3337,-1,
-0.3224,-1,
-0.3111,-1,
-0.2999,-1,
-0.2888,-1,
-0.2777,-1,
-0.2668,-1,
-0.256,-1,
-0.2454,-1,
-0.2349,-1,
-0.2245,-1,
-0.2144,-1,
-0.2044,-1,
-0.1946,-1,
-0.185,-1,
-0.1756,-1,
-0.1664,-1,
-0.1575,-1,
-0.1489,-1,
-0.1404,-1,
-0.1323,-1,
-0.1244,-1,
-0.1168,-1,
-0.1095,-1,
-0.1026,-1,
-0.0959,-1,
-0.0895,-1,
-0.0835,-1,
-0.0778,-1,
-0.0725,-1,
-0.0675,-1,
-0.0628,-1,
-0.0585,-1,
-0.0546,-1,
-0.0511,-1,
-0.0479,-1,
-0.0451,-1,
-0.0427,-1,
-0.0406,-1,
-0.039,-1,
-0.0377,-1,
-0.0369,-1,
-0.0364,-1,
-0.0363,-1,
-0.0366,-1,
-0.0373,-1,
-0.0384,-1,
-0.0399,-1,
-0.0417,-1,
-0.0439,-1,
-0.0466,-1,
-0.0495,-1,
-0.0529,-1,
-0.0566,-1,
-0.0606,-1,
-0.0651,-1,
-0.0698,-1,
-0.0749,-1,
-0.0803,-1,
-0.086,-1,
-0.092,-1,
-0.0984,-1,
-0.105,-1,
-0.1118,-1,
-0.119,-1,
-0.1264,-1,
-0.134,-1,
-0.1419,-1,
-0.1499,-1,
-0.1582,-1,
-0.1666,-1,
-0.1752,-1,
-0.184,-1,
-0.1929,-1,
-0.2019,-1,
-0.211,-1,
-0.2202,-1,
-0.2294,-1,
-0.2387,-1,
-0.2481,-1,
-0.2574,-1,
-0.2668,-1,
-0.2761,-1,
-0.2853,-1,
-0.2945,-1,
-0.3037,-1,
-0.3127,-1,
-0.3216,-1,
-0.3303,-1,
-0.3389,-1,
-0.3473,-1,
-0.3555,-1,
-0.3635,-1,
-0.3712,-1,
-0.3787,-1,
-0.3858,-1,
-0.3927,-1,
-0.3993,-1,
-0.4055,-1,
-0.4113,-1,
-0.4168,-1,
-0.4219,-1,
-0.4265,-1,
-0.4307,-1,
-0.4345,-1,
-0.4377,-1,
-0.4405,-1,
-0.4428,-1,
-0.4446,-1,
-0.4458,-1,
-0.4464,-1,
-0.4465,-1,
-0.446,-1,
-0.4449,-1,
-0.4432,-1,
-0.4408,-1,
-0.4379,-1,
-0.4342,-1,
-0.4299,-1,
-0.425,-1,
-0.4193,-1,
-0.413,-1,
-0.4059,-1,
-0.3982,-1,
-0.3897,-1,
-0.3806,-1,
-0.3707,-1,
-0.36,-1,
-0.3487,-1,
-0.3366,-1,
-0.3238,-1,
-0.3102,-1,
-0.2959,-1,
-0.2809,-1,
-0.2651,-1,
-0.2486,-1,
-0.2314,-1,
-0.2134,-1,
-0.1948,-1,
-0.1754,-1,
-0.1554,-1,
-0.1346,-1,
-0.1132,-1,
-0.091,-1,
-0.0683,-1,
-0.0449,-1,
-0.0208,-1,
0.0039,1,
0.0292,1,
0.055,1,
0.0815,1,
0.1085,1,
0.136,1,
0.1641,1,
0.1926,1,
0.2217,1,
0.2512,1,
0.2811,1,
0.3114,1,
0.3421,1,
0.3732,1,
0.4045,1,
0.4362,1,
0.4682,1,
0.5004,1,
0.5329,1,
0.5655,1,
0.5983,1,
0.6312,1,
0.6643,1,
0.6973,1,
0.7305,1,
0.7636,1,
0.7967,1,
0.8298,1,
0.8627,1,
0.8955,1,
0.9282,1,
0.9607,1,
0.9929,1,
1.0248,1,
1.0565,1,
1.0878,1,
1.1188,1,
1.1494,1,
1.1795,1,
1.2091,1,
1.2382,1,
1.2668,1,
1.2948,1,
1.3222,1,
1.349,1,
1.3751,1,
1.4004,1,
1.4251,1,
1.4489,1,
1.4719,1,
1.4941,1,
1.5154,1,
1.5359,1,
1.5553,1,
1.5739,1,
1.5914,1,
1.6079,1,
1.6234,1,
1.6378,1,
1.6512,1,
1.6634,1,
1.6744,1,
1.6843,1,
1.6931,1,
1.7006,1,
1.7069,1,
1.7119,1,
1.7157,1,
1.7182,1,
1.7194,1,
1.7193,1,
1.7179,1,
1.7152,1,
1.7111,1,
1.7057,1,
1.6989,1,
1.6908,1,
1.6813,1,
1.6704,1,
1.6582,1,
1.6446,1,
1.6296,1,
1.6132,1,
1.5955,1,
1.5764,1,
1.5559,1,
1.5341,1,
1.511,1,
1.4865,1,
1.4607,1,
1.4336,1,
1.4052,1,
1.3755,1,
1.3446,1,
1.3124,1,
1.279,1,
1.2444,1,
1.2086,1,
1.1717,1,
1.1336,1,
1.0945,1,
1.0542,1,
1.0129,1,
0.9706,1,
0.9273,1,
0.883,1,
0.8379,1,
0.7918,1,
0.7449,1,
0.6972,1,
0.6487,1,
0.5995,1,
0.5496,1,
0.499,1,
0.4478,1,
0.396,1,
0.3438,1,
0.291,1,
0.2378,1,
0.1842,1,
0.1303,1,
0.076,1,
0.0215,1,
-0.0331,-1,
-0.088,-1,
-0.1429,-1,
-0.1979,-1,
-0.2529,-1,
-0.3079,-1,
-0.3628,-1,
-0.4175,-1,
-0.472,-1,
-0.5263,-1,
-0.5803,-1,
-0.6339,-1,
-0.6872,-1,
-0.74,-1,
-0.7923,-1,
-0.844,-1,
-0.8952,-1,
-0.9457,-1,
-0.9955,-1,
-1.0445,-1,
-1.0928,-1,
-1.1402,-1,
-1.1868,-1,
-1.2324,-1,
-1.277,-1,
-1.3206,-1,
-1.3631,-1,
-1.4046,-1,
-1.4448,-1,
-1.4839,-1,
-1.5218,-1,
-1.5583,-1,
-1.5936,-1,
-1.6275,-1,
-1.66,-1,
-1.6911,-1,
-1.7207,-1,
-1.7489,-1,
-1.7755,-1,
-1.8006,-1,
-1.8241,-1,
-1.846,-1,
-1.8663,-1,
-1.8849,-1,
-1.9019,-1,
-1.9171,-1,
-1.9307,-1,
-1.9425,-1,
-1.9525,-1,
-1.9608,-1,
-1.9673,-1,
-1.972,-1,
-1.9749,-1,
-1.9761,-1,
-1.9754,-1,
-1.9728,-1,
-1.9685,-1,
-1.9623,-1,
-1.9544,-1,
-1.9446,-1,
-1.933,-1,
-1.9195,-1,
-1.9043,-1,
-1.8873,-1,
-1.8685,-1,
-1.848,-1,
-1.8257,-1,
-1.8016,-1,
-1.7759,-1,
-1.7485,-1,
-1.7193,-1,
-1.6886,-1,
-1.6562,-1,
-1.6222,-1,
-1.5866,-1,
-1.5495,-1,
-1.5109,-1,
-1.4708,-1,
-1.4293,-1,
-1.3864,-1,
-1.342,-1,
-1.2964,-1,
-1.2495,-1,
-1.2013,-1,
-1.1519,-1,
-1.1014,-1,
-1.0497,-1,
-0.997,-1,
-0.9433,-1,
-0.8886,-1,
-0.8329,-1,
-0.7764,-1,
-0.7191,-1,
-0.661,-1,
-0.6021,-1,
-0.5427,-1,
-0.4826,-1,
-0.4219,-1,
-0.3608,-1,
-0.2992,-1,
-0.2373,-1,
-0.175,-1,
-0.1124,-1,
-0.0497,-1,
0.0132,1,
0.0762,1,
0.1392,1,
0.2022,1,
0.2651,1,
0.3279,1,
0.3904,1,
0.4527,1,
0.5146,1,
0.5762,1,
0.6373,1,
0.698,1,
0.758,1,
0.8175,1,
0.8763,1,
0.9343,1,
0.9916,1,
1.0481,1,
1.1036,1,
1.1582,1,
1.2118,1,
1.2644,1,
1.3158,1,
1.3661,1,
1.4152,1,
1.4631,1,
1.5097,1,
1.5549,1,
1.5988,1,
1.6413,1,
1.6823,1,
1.7217,1,
1.7597,1,
1.7961,1,
1.8308,1,
1.864,1,
1.8954,1,
1.9252,1,
1.9532,1,
1.9794,1,
2.0039,1,
2.0265,1,
2.0473,1,
2.0663,1,
2.0834,1,
2.0986,1,
2.1119,1,
2.1233,1,
2.1328,1,
2.1403,1,
2.1459,1,
2.1495,1,
2.1512,1,
2.1509,1,
2.1486,1,
2.1445,1,
2.1383,1,
2.1302,1,
2.1202,1,
2.1083,1,
2.0944,1,
2.0787,1,
2.061,1,
2.0415,1,
2.0201,1,
1.9969,1,
1.9719,1,
1.945,1,
1.9165,1,
1.8862,1,
1.8541,1,
1.8204,1,
1.7851,1,
1.7481,1,
1.7096,1,
1.6695,1,
1.6279,1,
1.5849,1,
1.5404,1,
1.4945,1,
1.4473,1,
1.3988,1,
1.3491,1,
1.2981,1,
1.246,1,
1.1928,1,
1.1385,1,
1.0832,1,
1.0269,1,
0.9698,1,
0.9117,1,
0.8529,1,
0.7933,1,
0.7331,1,
0.6721,1,
0.6107,1,
0.5486,1,
0.4861,1,
0.4232,1,
0.36,1,
0.2964,1,
0.2326,1,
0.1686,1,
0.1045,1,
0.0403,1,
-0.0239,-1,
-0.088,-1,
-0.1521,-1,
-0.216,-1,
-0.2797,-1,
-0.3431,-1,
-0.4062,-1,
-0.4689,-1,
-0.5312,-1,
-0.593,-1,
-0.6542,-1,
-0.7149,-1,
-0.7749,-1,
-0.8342,-1,
-0.8928,-1,
-0.9506,-1,
-1.0075,-1,
-1.0636,-1,
-1.1187,-1,
-1.1728,-1,
-1.2259,-1,
-1.278,-1,
-1.3289,-1,
-1.3787,-1,
-1.4273,-1,
-1.4746,-1,
-1.5207,-1,
-1.5655,-1,
-1.609,-1,
-1.6511,-1,
-1.6918,-1,
-1.7311,-1,
-1.7689,-1,
-1.8053,-1,
-1.8401,-1,
-1.8734,-1,
-1.9052,-1,
-1.9354,-1,
-1.9641,-1,
-1.9911,-1,
-2.0165,-1,
-2.0402,-1,
-2.0624,-1,
-2.0828,-1,
-2.1017,-1,
-2.1188,-1,
-2.1343,-1,
-2.1481,-1,
-2.1602,-1,
-2.1706,-1,
-2.1794,-1,
-2.1864,-1,
-2.1918,-1,
-2.1956,-1,
-2.1977,-1,
-2.1981,-1,
-2.1969,-1,
-2.1941,-1,
-2.1896,-1,
-2.1836,-1,
-2.176,-1,
-2.1668,-1,
-2.1561,-1,
-2.1439,-1,
-2.1302,-1,
-2.115,-1,
-2.0983,-1,
-2.0802,-1,
-2.0608,-1,
-2.0399,-1,
-2.0177,-1,
-1.9942,-1,
-1.9695,-1,
-1.9435,-1,
-1.9163,-1,
-1.8879,-1,
-1.8583,-1,
-1.8277,-1,
-1.796,-1,
-1.7633,-1,
-1.7296,-1,
-1.6949,-1,
-1.6593,-1,
-1.6229,-1,
-1.5856,-1,
-1.5475,-1,
-1.5087,-1,
-1.4692,-1,
-1.429,-1,
-1.3882,-1,
-1.3468,-1,
-1.3049,-1,
-1.2625,-1,
-1.2196,-1,
-1.1763,-1,
-1.1327,-1,
-1.0888,-1,
-1.0445,-1,
-1.0001,-1,
-0.9554,-1,
-0.9106,-1,
-0.8657,-1,
-0.8207,-1,
-0.7758,-1,
-0.7308,-1,
-0.6858,-1,
-0.641,-1,
-0.5963,-1,
-0.5518,-1,
-0.5075,-1,
-0.4634,-1,
-0.4197,-1,
-0.3762,-1,
-0.3331,-1,
-0.2904,-1,
-0.2481,-1,
-0.2063,-1,
-0.165,-1,
-0.1241,-1,
-0.0839,-1,
-0.0442,-1,
-0.0051,-1,
0.0334,1,
0.0712,1,
0.1084,1,
0.1448,1,
0.1805,1,
0.2155,1,
0.2497,1,
0.2831,1,
0.3158,1,
0.3476,1,
0.3785,1,
0.4087,1,
0.4379,1,
0.4663,1,
0.4939,1,
0.5205,1,
0.5462,1,
0.5711,1,
0.595,1,
0.618,1,
0.6401,1,
0.6613,1,
0.6816,1,
0.7009,1,
0.7194,1,
0.7369,1,
0.7535,1,
0.7692,1,
0.784,1,
0.798,1,
0.811,1,
0.8232,1,
0.8345,1,
0.8449,1,
0.8545,1,
0.8633,1,
0.8713,1,
0.8785,1,
0.8848,1,
0.8905,1,
0.8953,1,
0.8995,1,
0.9029,1,
0.9056,1,
0.9077,1,
0.9091,1,
0.9098,1,
0.91,1,
0.9095,1,
0.9085,1,
0.907,1,
0.9049,1,
0.9023,1,
0.8993,1,
0.8957,1,
0.8918,1,
0.8875,1,
0.8828,1,
0.8777,1,
0.8723,1,
0.8666,1,
0.8606,1,
0.8543,1,
0.8479,1,
0.8412,1,
0.8343,1,
0.8273,1,
0.8201,1,
0.8128,1,
0.8054,1,
0.798,1,
0.7905,1,
0.783,1,
0.7755,1,
0.768,1,
0.7606,1,
0.7532,1,
0.7459,1,
0.7387,1,
0.7316,1,
0.7246,1,
0.7178,1,
0.7111,1,
0.7047,1,
0.6984,1,
0.6923,1,
0.6865,1,
0.6809,1,
0.6755,1,
0.6704,1,
0.6656,1,
0.661,1,
0.6567,1,
0.6528,1,
0.6491,1,
0.6457,1,
0.6426,1,
0.6398,1,
0.6374,1,
0.6352,1,
0.6334,1,
0.6319,1,
0.6307,1,
0.6298,1,
0.6293,1,
0.629,1,
0.629,1,
0.6294,1,
0.63,1,
0.6309,1,
0.6321,1,
0.6335,1,
0.6352,1,
0.6372,1,
0.6394,1,
0.6418,1,
0.6444,1,
0.6472,1,
0.6502,1,
0.6534,1,
0.6567,1,
0.6601,1,
0.6637,1,
0.6674,1,
0.6712,1,
0.675,1,
0.6789,1,
0.6828,1,
0.6867,1,
0.6906,1,
0.6945,1,
0.6983,1,
0.7021,1,
0.7057,1,
0.7093,1,
0.7127,1,
0.716,1,
0.7191,1,
0.7219,1,
0.7246,1,
0.727,1,
0.7292,1,
0.7311,1,
0.7326,1,
0.7339,1,
0.7347,1,
0.7353,1,
0.7354,1,
0.7351,1,
0.7344,1,
0.7332,1,
0.7316,1,
0.7295,1,
0.7268,1,
0.7237,1,
0.72,1,
0.7157,1,
0.7109,1,
0.7055,1,
0.6995,1,
0.6928,1,
0.6856,1,
0.6777,1,
0.6691,1,
0.6599,1,
0.65,1,
0.6394,1,
0.6282,1,
0.6162,1,
0.6035,1,
0.5901,1,
0.576,1,
0.5612,1,
0.5457,1,
0.5295,1,
0.5125,1,
0.4948,1,
0.4764,1,
0.4573,1,
0.4374,1,
0.4169,1,
0.3957,1,
0.3737,1,
0.3511,1,
0.3278,1,
0.3039,1,
0.2793,1,
0.254,1,
0.2282,1,
0.2017,1,
0.1746,1,
0.147,1,
0.1187,1,
0.09,1,
0.0607,1,
0.0309,1,
0.0007,1,
-0.03,-1,
-0.0612,-1,
-0.0927,-1,
-0.1246,-1,
-0.1569,-1,
-0.1895,-1,
-0.2224,-1,
-0.2556,-1,
-0.289,-1,
-0.3226,-1,
-0.3564,-1,
-0.3903,-1,
-0.4244,-1,
-0.4585,-1,
-0.4927,-1,
-0.5269,-1,
-0.5611,-1,
-0.5952,-1,
-0.6292,-1,
-0.6631,-1,
-0.6968,-1,
-0.7303,-1,
-0.7636,-1,
-0.7965,-1,
-0.8292,-1,
-0.8615,-1,
-0.8935,-1,
-0.925,-1,
-0.956,-1,
-0.9865,-1,
-1.0165,-1,
-1.046,-1,
-1.0748,-1,
-1.1029,-1,
-1.1304,-1,
-1.1571,-1,
-1.1831,-1,
-1.2083,-1,
-1.2326,-1,
-1.2561,-1,
-1.2787,-1,
-1.3003,-1,
-1.321,-1,
-1.3407,-1,
-1.3593,-1,
-1.3769,-1,
-1.3934,-1,
-1.4088,-1,
-1.4231,-1,
-1.4361,-1,
-1.448,-1,
-1.4586,-1,
-1.468,-1,
-1.4761,-1,
-1.483,-1,
-1.4885,-1,
-1.4926,-1,
-1.4955,-1,
-1.4969,-1,
-1.497,-1,
-1.4956,-1,
-1.4929,-1,
-1.4887,-1,
-1.4831,-1,
-1.476,-1,
-1.4675,-1,
-1.4576,-1,
-1.4461,-1,
-1.4332,-1,
-1.4188,-1,
-1.403,-1,
-1.3857,-1,
-1.3669,-1,
-1.3467,-1,
-1.325,-1,
-1.3018,-1,
-1.2773,-1,
-1.2512,-1,
-1.2238,-1,
-1.195,-1,
-1.1647,-1,
-1.1331,-1,
-1.1002,-1,
-1.0659,-1,
-1.0303,-1,
-0.9934,-1,
-0.9552,-1,
-0.9158,-1,
-0.8752,-1,
-0.8334,-1,
-0.7905,-1,
-0.7464,-1,
-0.7012,-1,
-0.655,-1,
-0.6077,-1,
-0.5594,-1,
-0.5102,-1,
-0.4601,-1,
-0.4092,-1,
-0.3573,-1,
-0.3048,-1,
-0.2514,-1,
-0.1974,-1,
-0.1427,-1,
-0.0874,-1,
-0.0315,-1,
0.0248,1,
0.0816,1,
0.1389,1,
0.1965,1,
0.2544,1,
0.3125,1,
0.3709,1,
0.4294,1,
0.488,1,
0.5466,1,
0.6053,1,
0.6638,1,
0.7223,1,
0.7805,1,
0.8386,1,
0.8963,1,
0.9537,1,
1.0107,1,
1.0672,1,
1.1233,1,
1.1787,1,
1.2335,1,
1.2877,1,
1.3411,1,
1.3937,1,
1.4455,1,
1.4964,1,
1.5464,1,
1.5953,1,
1.6432,1,
1.69,1,
1.7356,1,
1.78,1,
1.8232,1,
1.8651,1,
1.9056,1,
1.9447,1,
1.9825,1,
2.0187,1,
2.0534,1,
2.0865,1,
2.1181,1,
2.148,1,
2.1762,1,
2.2027,1,
2.2275,1,
2.2504,1,
2.2716,1,
2.291,1,
2.3084,1,
2.324,1,
2.3376,1,
2.3493,1,
2.3591,1,
2.3668,1,
2.3726,1,
2.3763,1,
2.378,1,
2.3777,1,
2.3752,1,
2.3708,1,
2.3642,1,
2.3556,1,
2.3449,1,
2.3321,1,
2.3172,1,
2.3003,1,
2.2813,1,
2.2602,1,
2.237,1,
2.2118,1,
2.1846,1,
2.1553,1,
2.124,1,
2.0907,1,
2.0555,1,
2.0183,1,
1.9792,1,
1.9381,1,
1.8952,1,
1.8505,1,
1.8039,1,
1.7556,1,
1.7055,1,
1.6536,1,
1.6002,1,
1.545,1,
1.4883,1,
1.43,1,
1.3702,1,
1.309,1,
1.2463,1,
1.1822,1,
1.1169,1,
1.0502,1,
0.9823,1,
0.9133,1,
0.8432,1,
0.772,1,
0.6998,1,
0.6266,1,
0.5526,1,
0.4777,1,
0.4021,1,
0.3258,1,
0.2488,1,
0.1713,1,
0.0932,1,
0.0147,1,
-0.0642,-1,
-0.1434,-1,
-0.2229,-1,
-0.3025,-1,
-0.3823,-1,
-0.4621,-1,
-0.542,-1,
-0.6217,-1,
-0.7014,-1,
-0.7808,-1,
-0.8599,-1,
-0.9387,-1,
